Price,Close,High,Low,Open,Volume
Ticker,GGAL.BA,GGAL.BA,GGAL.BA,GGAL.BA,GGAL.BA
Date,,,,,
2025-08-12,6728.8671875,6777.840020014556,6601.537822962155,6621.126955967977,2405079
2025-08-13,6689.68896484375,6817.018330206808,6660.305265144583,6689.68896484375,1904438
2025-08-14,6317.49560546875,6689.689145015746,6229.344503997093,6689.689145015746,2669583
2025-08-18,6248.93359375,6317.495561079546,6141.193359375,6258.728160511364,1687123
2025-08-19,5945.30224609375,6288.112095539023,5925.713111839734,6170.5772900149295,1932402
2025-08-20,5915.9189453125,6082.426597746792,5906.124377522247,5955.097216473509,3094947
2025-08-21,5964.8916015625,6053.042708974754,5866.945926659996,5925.713331601499,3400194
2025-08-22,5915.9189453125,6121.604868907802,5896.329809731995,6023.659191005277,4610554
2025-08-25,5631.87548828125,5876.739639945652,5602.491790081522,5876.739639945652,6413310
2025-08-26,5533.9306640625,5631.876339532632,5416.39585349834,5622.0817719856195,9706336
2025-08-27,5308.65576171875,5494.7525504136875,5240.093786936404,5484.957982587638,11952530
2025-08-28,5259.6826171875,5406.601126047486,5249.888049930168,5347.833722503492,4854766
2025-08-29,5191.12060546875,5249.888008549528,5112.764068027713,5249.888008549528,3202923
2025-09-01,5093.1748046875,5210.709607872596,5005.0237022986785,5210.709607872596,2135823
2025-09-02,5308.65576171875,5328.244897370849,4897.283913024677,5083.380701719615,7045009
2025-09-03,5181.32568359375,5396.8061468055885,5093.174585007088,5328.244181238185,7880960
2025-09-04,5426.18994140625,5475.162774812444,5161.736641012805,5191.120341056521,4865064
2025-09-05,5467.3974609375,5546.065050303508,5280.561936193233,5457.564012266749,5065339
2025-09-08,4366.05126953125,4803.6397413649,4228.382986257742,4621.720938467764,17708116
2025-09-09,4252.96728515625,4577.4711473762645,4243.133834785946,4503.720269598988,10700384
2025-09-10,4538.13623046875,4577.47002228213,4277.5498597051055,4282.4665836817785,5965477
2025-09-11,4447.1767578125,4631.553903658789,4395.551156975539,4543.05287365257,3587867
2025-09-12,4336.55029296875,4513.5523457429845,4203.798753388074,4474.218556237599,3564950
2025-09-15,4233.29931640625,4410.301378416268,4221.0075065444435,4287.3832797981995,3510122
2025-09-16,4366.05126953125,4415.218513557503,4272.633505881369,4297.217127894496,3182700
2025-09-17,4334.0927734375,4498.803049002056,4284.925527000319,4366.051483621667,3005311
2025-09-18,4125.1318359375,4307.050641574791,3999.755361782069,4277.55029471469,5767766
2025-09-19,4019.422119140625,4179.215659045298,3923.545995197821,4130.048415997706,6721173
2025-09-22,4530.76123046875,4621.720625763022,4228.382700166169,4533.21959250373,7560324
2025-09-23,4400.46826171875,4631.554304512919,4287.383602479051,4631.554304512919,10403033
2025-09-24,4496.3447265625,4906.891237954484,4476.677827813183,4695.47207639933,7289185
2025-09-25,4211.17431640625,4491.427598408768,4179.215608809472,4491.427598408768,6836118
2025-09-26,4267.716796875,4370.968009702621,4139.881961945564,4228.383001512097,4775001
2025-09-29,4324.25927734375,4375.884885543988,4206.257887171778,4287.383842915009,2041470
2025-09-30,4179.2158203125,4336.551004136029,4120.215126378676,4282.467034696691,6152983
2025-10-01,4120.21484375,4297.216913409904,4105.4646712783415,4159.548637007756,3098428
2025-10-02,4265.25830078125,4314.425543441553,4026.797173878783,4122.6732970663725,8304092
2025-10-03,4302.13427734375,4326.717901785714,4164.46598046875,4287.384102678571,4116874
2025-10-06,4297.21728515625,4425.052124302775,4154.63227226205,4341.467806399278,7986335
2025-10-07,4289.6220703125,4358.809523059476,4240.202461207517,4299.505992133497,2557268
2025-10-08,4343.98388671875,4388.461537436006,4240.202701711817,4299.506236001493,3564887
2025-10-09,4714.630859375,4724.5147815120545,4363.7516235095645,4363.7516235095645,8872691
2025-10-13,4875.2451171875,4892.541982783198,4808.528635604092,4835.709424397332,3405996
2025-10-14,4638.0302734375,4976.554592809337,4556.487919136254,4843.121649407299,13193968
2025-10-15,4741.81201171875,4939.490469737249,4598.495129655338,4729.457108092593,12546381
2025-10-16,4796.17333984375,4843.121971197192,4746.753727892758,4764.050592075605,5544593
2025-10-17,4902.42529296875,4927.135097872826,4749.224502563477,4793.702151390814,3147538
2025-10-20,4951.8447265625,5154.465119565556,4850.5345300609715,4902.425118512974,3182423
2025-10-21,5055.62646484375,5248.36295763838,4833.23820392687,4937.019392354747,4850501
2025-10-22,5243.42041015625,5268.130214162641,4941.960801278275,5139.639233329406,4442238
2025-10-23,5357.0859375,5589.358113756919,5238.478868773063,5258.246713560886,6888031
2025-10-24,5485.5771484375,5549.822646572354,5287.89869263795,5534.996762387387,8031328
2025-10-27,7007.70068359375,7116.42382537024,6543.156350548748,6943.455190725825,11896695
2025-10-28,7571.083984375,7729.2267307849215,6968.164763687174,7032.410254416204,7732865
2025-10-29,7798.41455078125,7941.731421486355,7472.245120900666,7660.039641134942,7379683
2025-10-30,7912.07958984375,7996.092927150024,7669.9234999609625,7753.936837267235,4949766
